threads,plant,time,bestMSE,Kp,Ki,Kd
1,1,25.3238,0.000766896,9.83333,9.83333,0.833333
1,2,27.7171,0.00186798,9.83333,6.5,1.16667
1,3,33.811,0.0068159,7.83333,5.16667,3.5
2,1,12.6826,0.000898077,9.83333,9.5,0.5
2,2,13.8511,0.00198723,9.83333,7.5,1.83333
2,3,16.9967,0.0067574,8.83333,5.5,3.83333
4,1,7.15697,0.000775447,9.83333,9.16667,0.833333
4,2,7.7942,0.00188333,9.5,8.16667,1.5
4,3,9.59759,0.00669983,9.5,5.5,4.16667
6,1,6.11383,0.000898077,9.83333,9.5,0.5
6,2,6.69147,0.00189527,8.83333,7.5,1.16667
6,3,7.91812,0.00669983,9.5,5.5,4.16667
8,1,4.94692,0.00111581,9.83333,9.5,0.166667
8,2,5.4745,0.00186831,9.83333,8.16667,1.16667
8,3,6.55225,0.00675732,8.83333,5.16667,3.83333
10,1,4.35172,0.000898077,9.83333,9.5,0.5
10,2,4.83458,0.00186591,9.83333,7.16667,1.16667
10,3,5.82614,0.00675732,8.83333,5.16667,3.83333
